13:59:51:906 -> Mic0:  0.269 Mic1:  0.085 Mic2:  0.198 Mic3:  0.106
13:59:52:008 -> Mic0:  0.189 Mic1:  0.140 Mic2:  0.163 Mic3:  0.141
13:59:52:108 -> Mic0:  0.163 Mic1:  0.122 Mic2:  0.207 Mic3:  0.124
13:59:52:213 -> Mic0:  0.136 Mic1:  0.235 Mic2:  0.150 Mic3:  0.134
13:59:52:315 -> Mic0:  0.200 Mic1:  0.113 Mic2:  0.161 Mic3:  0.180
13:59:52:413 -> Mic0:  0.129 Mic1:  0.139 Mic2:  0.131 Mic3:  0.137
13:59:52:513 -> Mic0:  0.337 Mic1:  2.222 Mic2:  0.607 Mic3:  0.319
13:59:52:613 -> Mic0:  0.166 Mic1:  0.185 Mic2:  0.159 Mic3:  0.194
13:59:52:719 -> Mic0:  0.224 Mic1:  0.143 Mic2:  0.092 Mic3:  0.181
13:59:52:821 -> Mic0:  0.126 Mic1:  0.144 Mic2:  0.111 Mic3:  0.158
13:59:52:920 -> Mic0:  0.191 Mic1:  0.209 Mic2:  0.160 Mic3:  0.163
13:59:53:026 -> Mic0:  0.147 Mic1:  0.182 Mic2:  0.167 Mic3:  0.143
13:59:53:120 -> Mic0:  0.181 Mic1:  0.101 Mic2:  0.128 Mic3:  0.141
13:59:53:224 -> Mic0:  0.164 Mic1:  0.155 Mic2:  0.167 Mic3:  0.154
13:59:53:326 -> Mic0:  0.187 Mic1:  0.141 Mic2:  0.190 Mic3:  0.155
13:59:53:426 -> Mic0:  0.293 Mic1:  0.233 Mic2:  0.217 Mic3:  0.174
13:59:53:531 -> Mic0:  0.179 Mic1:  0.146 Mic2:  0.091 Mic3:  0.124
13:59:53:633 -> Mic0:  0.151 Mic1:  0.196 Mic2:  0.193 Mic3:  0.202
13:59:53:733 -> Mic0:  0.120 Mic1:  0.198 Mic2:  0.136 Mic3:  0.144
13:59:53:838 -> Mic0:  0.219 Mic1:  0.199 Mic2:  0.183 Mic3:  0.182
13:59:53:940 -> Mic0:  0.198 Mic1:  0.220 Mic2:  0.113 Mic3:  0.138
13:59:54:039 -> Mic0:  0.135 Mic1:  0.244 Mic2:  0.118 Mic3:  0.165
13:59:54:139 -> Mic0:  0.135 Mic1:  0.185 Mic2:  0.205 Mic3:  0.159
13:59:54:239 -> Mic0:  0.205 Mic1:  0.297 Mic2:  0.152 Mic3:  0.199
13:59:54:343 -> Mic0:  0.172 Mic1:  0.196 Mic2:  0.138 Mic3:  0.121
13:59:54:445 -> Mic0:  0.185 Mic1:  0.138 Mic2:  0.100 Mic3:  0.194
13:59:54:544 -> Mic0:  0.158 Mic1:  0.162 Mic2:  0.463 Mic3:  0.232
13:59:54:649 -> Mic0:  0.163 Mic1:  0.141 Mic2:  0.150 Mic3:  0.193
13:59:54:751 -> Mic0:  0.125 Mic1:  0.123 Mic2:  0.159 Mic3:  0.143
13:59:54:851 -> Mic0:  0.119 Mic1:  0.130 Mic2:  0.228 Mic3:  0.197
13:59:54:956 -> Mic0:  0.112 Mic1:  0.138 Mic2:  0.150 Mic3:  0.131
13:59:55:058 -> Mic0:  0.229 Mic1:  0.145 Mic2:  0.167 Mic3:  0.204
13:59:55:158 -> Mic0:  0.263 Mic1:  0.114 Mic2:  0.145 Mic3:  0.112
13:59:55:258 -> Mic0:  0.155 Mic1:  0.154 Mic2:  0.172 Mic3:  0.090
13:59:55:358 -> Mic0:  0.137 Mic1:  0.187 Mic2:  0.174 Mic3:  0.133
13:59:55:462 -> Mic0:  0.156 Mic1:  0.169 Mic2:  0.131 Mic3:  0.099
13:59:55:564 -> Mic0:  0.148 Mic1:  0.123 Mic2:  0.128 Mic3:  0.106
13:59:55:664 -> Mic0:  0.155 Mic1:  0.274 Mic2:  0.143 Mic3:  0.191
13:59:55:763 -> Mic0:  0.096 Mic1:  0.294 Mic2:  0.164 Mic3:  0.104
13:59:55:864 -> Mic0:  0.162 Mic1:  0.221 Mic2:  0.148 Mic3:  0.236
13:59:55:968 -> Mic0:  0.147 Mic1:  0.180 Mic2:  0.145 Mic3:  0.125
13:59:56:071 -> Mic0:  0.212 Mic1:  0.181 Mic2:  0.217 Mic3:  0.166
13:59:56:170 -> Mic0:  0.118 Mic1:  0.114 Mic2:  0.204 Mic3:  0.109
13:59:56:275 -> Mic0:  0.208 Mic1:  0.117 Mic2:  0.130 Mic3:  0.112
13:59:56:377 -> Mic0:  0.192 Mic1:  0.154 Mic2:  0.153 Mic3:  0.188
13:59:56:479 -> Mic0:  0.235 Mic1:  0.096 Mic2:  0.161 Mic3:  0.140
13:59:56:576 -> Mic0:  0.183 Mic1:  0.180 Mic2:  0.203 Mic3:  0.138
13:59:56:676 -> Mic0:  0.247 Mic1:  0.127 Mic2:  0.191 Mic3:  0.142
13:59:56:780 -> Mic0:  0.148 Mic1:  0.136 Mic2:  0.147 Mic3:  0.127
13:59:56:882 -> Mic0:  0.201 Mic1:  0.127 Mic2:  0.208 Mic3:  0.109
13:59:56:982 -> Mic0:  0.171 Mic1:  0.129 Mic2:  0.205 Mic3:  0.101
13:59:57:082 -> Mic0:  0.161 Mic1:  0.229 Mic2:  0.148 Mic3:  0.103
13:59:57:182 -> Mic0:  0.218 Mic1:  0.132 Mic2:  0.148 Mic3:  0.101
13:59:57:288 -> Mic0:  0.165 Mic1:  0.172 Mic2:  0.179 Mic3:  0.146
13:59:57:389 -> Mic0:  0.074 Mic1:  0.134 Mic2:  0.199 Mic3:  0.093
13:59:57:488 -> Mic0:  0.113 Mic1:  0.243 Mic2:  0.154 Mic3:  0.109
13:59:57:588 -> Mic0:  0.152 Mic1:  0.101 Mic2:  0.195 Mic3:  0.078
13:59:57:688 -> Mic0:  0.174 Mic1:  0.137 Mic2:  0.152 Mic3:  0.150
13:59:57:792 -> Mic0:  0.128 Mic1:  0.177 Mic2:  0.157 Mic3:  0.122
13:59:57:894 -> Mic0:  0.142 Mic1:  0.253 Mic2:  0.201 Mic3:  0.127
13:59:57:994 -> Mic0:  0.160 Mic1:  0.182 Mic2:  0.146 Mic3:  0.116
13:59:58:094 -> Mic0:  0.175 Mic1:  0.187 Mic2:  0.194 Mic3:  0.082
13:59:58:194 -> Mic0:  0.137 Mic1:  0.278 Mic2:  0.168 Mic3:  0.099
13:59:58:298 -> Mic0:  0.161 Mic1:  0.161 Mic2:  0.102 Mic3:  0.204
13:59:58:400 -> Mic0:  0.217 Mic1:  0.280 Mic2:  0.251 Mic3:  0.129
13:59:58:500 -> Mic0:  0.199 Mic1:  1.538 Mic2:  0.142 Mic3:  0.156
13:59:58:607 -> Mic0:  0.157 Mic1:  0.111 Mic2:  0.110 Mic3:  0.122
13:59:58:706 -> Mic0:  0.134 Mic1:  0.111 Mic2:  0.183 Mic3:  0.085
13:59:58:806 -> Mic0:  0.154 Mic1:  0.129 Mic2:  0.131 Mic3:  0.073
13:59:58:906 -> Mic0:  0.126 Mic1:  0.179 Mic2:  0.222 Mic3:  0.101
13:59:59:006 -> Mic0:  0.161 Mic1:  0.149 Mic2:  0.219 Mic3:  0.121
13:59:59:111 -> Mic0:  0.150 Mic1:  0.150 Mic2:  0.169 Mic3:  0.122
13:59:59:213 -> Mic0:  0.179 Mic1:  0.129 Mic2:  0.156 Mic3:  0.095
13:59:59:312 -> Mic0:  0.154 Mic1:  0.139 Mic2:  0.179 Mic3:  0.117
13:59:59:412 -> Mic0:  0.225 Mic1:  0.171 Mic2:  0.185 Mic3:  0.126
13:59:59:512 -> Mic0:  0.174 Mic1:  0.118 Mic2:  0.201 Mic3:  0.102
13:59:59:616 -> Mic0:  0.201 Mic1:  0.142 Mic2:  0.246 Mic3:  0.083
13:59:59:718 -> Mic0:  0.166 Mic1:  0.207 Mic2:  0.116 Mic3:  0.163
13:59:59:818 -> Mic0:  0.151 Mic1:  0.238 Mic2:  0.202 Mic3:  0.128
13:59:59:918 -> Mic0:  0.133 Mic1:  0.217 Mic2:  0.180 Mic3:  0.094
14:00:00:018 -> Mic0:  0.163 Mic1:  0.144 Mic2:  0.243 Mic3:  0.106
14:00:00:122 -> Mic0:  0.179 Mic1:  0.112 Mic2:  0.167 Mic3:  0.117
14:00:00:224 -> Mic0:  0.185 Mic1:  0.220 Mic2:  0.216 Mic3:  0.103
14:00:00:324 -> Mic0:  0.133 Mic1:  0.255 Mic2:  0.165 Mic3:  0.128
14:00:00:429 -> Mic0:  0.142 Mic1:  0.146 Mic2:  0.221 Mic3:  0.163
14:00:00:531 -> Mic0:  0.305 Mic1:  2.001 Mic2:  0.622 Mic3:  0.476
14:00:00:631 -> Mic0:  0.172 Mic1:  0.116 Mic2:  0.191 Mic3:  0.075
14:00:00:737 -> Mic0:  0.196 Mic1:  0.184 Mic2:  0.241 Mic3:  0.140
14:00:00:838 -> Mic0:  0.176 Mic1:  0.146 Mic2:  0.182 Mic3:  0.140
14:00:00:937 -> Mic0:  0.210 Mic1:  0.165 Mic2:  0.152 Mic3:  0.170
14:00:01:037 -> Mic0:  0.125 Mic1:  0.156 Mic2:  0.207 Mic3:  0.104
14:00:01:138 -> Mic0:  0.144 Mic1:  0.095 Mic2:  0.182 Mic3:  0.134
14:00:01:241 -> Mic0:  0.240 Mic1:  0.241 Mic2:  0.219 Mic3:  0.182
14:00:01:343 -> Mic0:  0.169 Mic1:  0.121 Mic2:  0.211 Mic3:  0.159
14:00:01:443 -> Mic0:  0.154 Mic1:  0.086 Mic2:  0.194 Mic3:  0.146
14:00:01:548 -> Mic0:  0.157 Mic1:  0.212 Mic2:  0.178 Mic3:  0.133
14:00:01:650 -> Mic0:  0.193 Mic1:  0.185 Mic2:  0.154 Mic3:  0.185
14:00:01:750 -> Mic0:  0.126 Mic1:  0.143 Mic2:  0.164 Mic3:  0.140
14:00:01:855 -> Mic0:  0.132 Mic1:  0.152 Mic2:  0.131 Mic3:  0.165
14:00:01:957 -> Mic0:  0.160 Mic1:  0.140 Mic2:  0.190 Mic3:  0.165
14:00:02:056 -> Mic0:  0.143 Mic1:  0.110 Mic2:  0.192 Mic3:  0.143
14:00:02:156 -> Mic0:  0.173 Mic1:  0.178 Mic2:  0.162 Mic3:  0.102
14:00:02:256 -> Mic0:  0.143 Mic1:  0.221 Mic2:  0.144 Mic3:  0.150
14:00:02:361 -> Mic0:  0.135 Mic1:  0.204 Mic2:  0.182 Mic3:  0.117
14:00:02:462 -> Mic0:  0.236 Mic1:  0.089 Mic2:  0.146 Mic3:  0.181
14:00:02:562 -> Mic0:  0.156 Mic1:  0.099 Mic2:  0.209 Mic3:  0.073
14:00:02:667 -> Mic0:  0.181 Mic1:  0.128 Mic2:  0.138 Mic3:  0.107
14:00:02:769 -> Mic0:  0.138 Mic1:  0.110 Mic2:  0.141 Mic3:  0.090
14:00:02:869 -> Mic0:  0.218 Mic1:  0.151 Mic2:  0.168 Mic3:  0.134
14:00:02:974 -> Mic0:  0.210 Mic1:  0.099 Mic2:  0.096 Mic3:  0.171
14:00:03:076 -> Mic0:  0.118 Mic1:  0.114 Mic2:  0.192 Mic3:  0.134
14:00:03:175 -> Mic0:  0.199 Mic1:  0.148 Mic2:  0.214 Mic3:  0.162
14:00:03:275 -> Mic0:  0.169 Mic1:  0.213 Mic2:  0.146 Mic3:  0.137
14:00:03:375 -> Mic0:  0.237 Mic1:  0.163 Mic2:  0.119 Mic3:  0.184
14:00:03:480 -> Mic0:  0.197 Mic1:  0.127 Mic2:  0.140 Mic3:  0.202
14:00:03:582 -> Mic0:  0.262 Mic1:  0.337 Mic2:  0.179 Mic3:  0.222
14:00:03:681 -> Mic0:  0.155 Mic1:  0.155 Mic2:  0.158 Mic3:  0.116
14:00:03:786 -> Mic0:  0.146 Mic1:  0.169 Mic2:  0.168 Mic3:  0.149
14:00:03:889 -> Mic0:  0.214 Mic1:  0.228 Mic2:  0.108 Mic3:  0.165
14:00:03:988 -> Mic0:  0.099 Mic1:  0.163 Mic2:  0.218 Mic3:  0.121
14:00:04:093 -> Mic0:  0.209 Mic1:  0.141 Mic2:  0.168 Mic3:  0.160
14:00:04:195 -> Mic0:  0.253 Mic1:  0.168 Mic2:  0.154 Mic3:  0.208
14:00:04:294 -> Mic0:  0.143 Mic1:  0.141 Mic2:  0.128 Mic3:  0.165
14:00:04:394 -> Mic0:  0.129 Mic1:  0.148 Mic2:  0.162 Mic3:  0.154
14:00:04:494 -> Mic0:  0.161 Mic1:  0.205 Mic2:  0.156 Mic3:  0.184
14:00:04:599 -> Mic0:  0.211 Mic1:  0.168 Mic2:  0.168 Mic3:  0.175
14:00:04:700 -> Mic0:  0.174 Mic1:  0.122 Mic2:  0.161 Mic3:  0.166
14:00:04:800 -> Mic0:  0.174 Mic1:  0.192 Mic2:  0.174 Mic3:  0.122
14:00:04:906 -> Mic0:  0.160 Mic1:  0.167 Mic2:  0.242 Mic3:  0.189
14:00:05:007 -> Mic0:  0.187 Mic1:  0.149 Mic2:  0.178 Mic3:  0.145
14:00:05:107 -> Mic0:  0.192 Mic1:  0.147 Mic2:  0.138 Mic3:  0.135
14:00:05:212 -> Mic0:  0.198 Mic1:  0.115 Mic2:  0.118 Mic3:  0.146
14:00:05:314 -> Mic0:  0.170 Mic1:  0.161 Mic2:  0.147 Mic3:  0.114
14:00:05:413 -> Mic0:  0.226 Mic1:  0.151 Mic2:  0.191 Mic3:  0.137
14:00:05:513 -> Mic0:  0.154 Mic1:  0.248 Mic2:  0.157 Mic3:  0.105
14:00:05:613 -> Mic0:  0.216 Mic1:  0.156 Mic2:  0.147 Mic3:  0.166
14:00:05:718 -> Mic0:  0.164 Mic1:  0.229 Mic2:  0.133 Mic3:  0.152
14:00:05:820 -> Mic0:  0.235 Mic1:  0.130 Mic2:  0.117 Mic3:  0.163
14:00:05:919 -> Mic0:  0.087 Mic1:  0.120 Mic2:  0.125 Mic3:  0.099
14:00:06:024 -> Mic0:  0.222 Mic1:  0.176 Mic2:  0.164 Mic3:  0.201
14:00:06:126 -> Mic0:  0.180 Mic1:  0.131 Mic2:  0.180 Mic3:  0.126
14:00:06:226 -> Mic0:  0.189 Mic1:  0.157 Mic2:  0.130 Mic3:  0.165
14:00:06:331 -> Mic0:  0.191 Mic1:  0.119 Mic2:  0.152 Mic3:  0.157
14:00:06:433 -> Mic0:  0.147 Mic1:  0.126 Mic2:  0.173 Mic3:  0.159
14:00:06:533 -> Mic0:  0.508 Mic1:  0.620 Mic2:  0.995 Mic3:  0.300
14:00:06:632 -> Mic0:  0.237 Mic1:  0.151 Mic2:  0.227 Mic3:  0.173
14:00:06:732 -> Mic0:  0.108 Mic1:  0.092 Mic2:  0.133 Mic3:  0.102
14:00:06:838 -> Mic0:  0.156 Mic1:  0.104 Mic2:  0.091 Mic3:  0.139
14:00:06:939 -> Mic0:  0.110 Mic1:  0.134 Mic2:  0.132 Mic3:  0.107
14:00:07:038 -> Mic0:  0.172 Mic1:  0.147 Mic2:  0.173 Mic3:  0.118
14:00:07:143 -> Mic0:  0.173 Mic1:  0.221 Mic2:  0.187 Mic3:  0.168
14:00:07:245 -> Mic0:  0.128 Mic1:  0.195 Mic2:  0.139 Mic3:  0.138
14:00:07:345 -> Mic0:  0.158 Mic1:  0.223 Mic2:  0.092 Mic3:  0.098
14:00:07:450 -> Mic0:  0.119 Mic1:  0.166 Mic2:  0.132 Mic3:  0.120
14:00:07:552 -> Mic0:  0.181 Mic1:  0.103 Mic2:  0.204 Mic3:  0.102
14:00:07:651 -> Mic0:  0.257 Mic1:  0.164 Mic2:  0.131 Mic3:  0.151
14:00:07:751 -> Mic0:  0.151 Mic1:  0.145 Mic2:  0.135 Mic3:  0.130
14:00:07:851 -> Mic0:  0.167 Mic1:  0.218 Mic2:  0.170 Mic3:  0.117
14:00:07:956 -> Mic0:  0.137 Mic1:  0.164 Mic2:  0.130 Mic3:  0.119
14:00:08:058 -> Mic0:  0.167 Mic1:  0.118 Mic2:  0.186 Mic3:  0.132
14:00:08:157 -> Mic0:  0.130 Mic1:  0.139 Mic2:  0.124 Mic3:  0.135
14:00:08:262 -> Mic0:  0.220 Mic1:  0.155 Mic2:  0.206 Mic3:  0.153
14:00:08:364 -> Mic0:  0.167 Mic1:  0.101 Mic2:  0.175 Mic3:  0.083
14:00:08:464 -> Mic0:  0.138 Mic1:  0.143 Mic2:  0.136 Mic3:  0.105
14:00:08:569 -> Mic0:  0.137 Mic1:  0.196 Mic2:  0.159 Mic3:  0.156
14:00:08:671 -> Mic0:  0.209 Mic1:  0.164 Mic2:  0.185 Mic3:  0.122
