Designator,Mid X,Mid Y,Rotation,Layer
C12,260.753356,-70.752953,270.0,top
C13,264.435127,-79.960492,270.0,top
C14,266.525738,-79.844347,270.0,top
C15,254.544558,-70.810149,270.0,top
C16,228.60322,-113.320378,180.0,top
C17,233.720367,-113.856473,270.0,top
C18,231.687655,-113.840341,270.0,top
C19,258.772145,-70.676162,270.0,top
C20,256.7295,-70.722236,270.0,top
D15,251.679013,-62.566142,180.0,top
D16,251.882103,-66.693253,180.0,top
J11,237.60322,-65.507371,180.0,bottom
J12,237.60322,-76.507371,180.0,bottom
J13,221.10322,-65.157371,180.0,top
J14,256.695514,-109.804,0.0,top
J15,243.995514,-109.804,0.0,top
J16,220.60322,-78.007371,180.0,top
J18,254.62072,-80.182371,0.0,top
J21,207.153383,-101.317057,90.0,top
J22,207.081657,-84.462895,90.0,top
Q7,262.073287,-64.832622,0.0,top
R27,235.669351,-113.861579,270.0,top
R28,237.651513,-113.849719,90.0,top
R29,217.194179,-105.594029,0.0,top
R30,217.208779,-103.652251,0.0,top
R31,251.695514,-101.074,270.0,top
R32,253.903662,-101.126763,270.0,top
R33,253.56891,-105.131058,270.0,top
R34,251.582884,-105.093936,90.0,top
R35,251.591928,-109.213829,90.0,top
R36,253.571498,-109.213829,270.0,top
R37,217.249818,-101.580581,0.0,top
R38,247.69199,-118.270503,0.0,top
R39,247.66773,-116.309999,0.0,top
R41,217.249818,-99.528135,0.0,top
U15,265.335877,-73.418107,90.0,top
U16,216.439804,-91.852846,180.0,top
U17,229.603219,-98.819871,0.0,top
U18,246.595903,-91.241637,180.0,top
