Designator,Footprint,Quantity,Value,LCSC Part #
"2A2, 2B2, 2Y1, 3A2, 3B2, 3Y1, 4A1, 4B1, 4Y1, TP13, TP14, TP8, TP9",TestPoint_Pad_1.0x1.0mm,13,TestPoint,
C1,CAP_EEE-1CA100SR_PAN,1,10uF,
"C10, C11",CP_Radial_D16.0mm_P7.50mm,2,"10,000uF",
"C2, C3, C4, C5",0805,4,10uF,
C6,0805,1,1uF,
C7,0805,1,0.1u,
C8,0805,1,100nF,
C9,0805,1,1µF,
CR1,POWERDI5_DIO,1,SBRT15U50SP5-13,
"D1, D2",1N5242B,2,D_Zener,
"D10, D11, D12, D13, D14, D4, D5, D6, D7, D8, D9",0603,11,GreenLED,
D3,D_SMA,1,TVS,
"H6, H7, H8, H9",MountingHole_4.3mm_M4,4,MountingHole,
"J1, J2",AMASS_XT60IPW-M_1x03_P7.20mm_Horizontal,2,Conn_01x02_Pin,
J10,MountingHole_4.3x6.2mm_M4_Pad_Via,1,via,
J17,PinHeader_2x02_P2.54mm_Vertical,1,FPGA MOUNT,
"J3, J4",PinHeader_1x08_P2.54mm_Vertical,2,Conn_01x08,
J5,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,Conn_01x02_Pin,
J6,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,Conn_01x02_Pin,
J9,CONN_SD-43045-008_04_MOL,1,Conn_01x04_Pin,
"JP10, JP11, JP25, JP27",SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,4,Jumper_2_Bridged,
JP12,KEYSTONE_5102,1,Jumper_2_Open,
"JP21, JP23, JP26",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,3,Jumper_2_Open,
"JP6, JP7",SolderJumper-2_P1.3mm_Bridged2Bar_RoundedPad1.0x1.5mm,2,~,
PM2,LMS78,1,LMS78,
"Q1, Q2, Q3, Q4, Q5, Q6",TOLL-8L_MCC,6,MCTL160N15Y-TP,
"R1, R6",0805,2,50k,
"R10, R42, R43, R44, R45, R9",0805,6,0R,
"R11, R12, R17, R18, R19, R20, R22, R23, R24",0402,9,100,
R13,0805,1,2.2k,
R14,TO508P1229X317-3N,1,0.5 Ohm 25W,
R15,0805,1,3.9k,
"R16, R2, R3, R7, R8",0805,5,10k,
R25,0402,1,15k,
R26,0402,1,1.5k,
"R4, R5",0805,2,100k,
S1,SW_100SP1T1B4M2QE,1,100SP1T1B4M2QE,
"TH1, TH2",0805,2,Thermistor_US,
"U1, U2",D2PAK_STM,2,STPS5045SG-TR,
"U10, U6, U8, U9",SOP65P640X120-14N,4,SN74HC132PWR,
U11,SN74LVC,1,SN74LVC1G373DCKR,
U12,TSSOP14_MC_MCH,1,MCP6564-E/ST,
U14,MSOP-8_3x3mm_P0.65mm,1,MCP9808_MSOP,
U3,LTC1255,1,LTC1255CS8-PBF,
U4,TO252-3_ROM,1,BA033CC0FP-E2,
U5,"Allegro_MicroSystems,_LLC-CB-5-PFF-0-0-MFG",1,ACS758LCB-100U-PFF-T,
"VR1, VR2",TRIM_3296W-1-103RLF,2,3296W-1-103RLF,
