Designator,Footprint,Quantity,Value,LCSC Part #
"C1_2, C12_2, C12, C13_2, C13, C15_2, C15, C19",0805,8,10uF,
"C1, C3, C5, CF10, CF11, CF12, CF13, CF14, CF15, CF16, CF9",0805,11,1 µF,
"C14_2, C14, C2_2, C20",0805,4,1uF,
C16,0805,1,0.1uF,
C17,0805,1,100nF,
C18,0805,1,1µF,
"C2, C4, C6",0805,3,10 µF,
"CB1, CB2, CB3, CB4, CB5, CB6, CB7, CB8",0805,8,0.1 µF,
"CF1, CF2, CF3, CF4, CF5, CF6, CF7, CF8",0805,8,100 nF,
"D15, D16",D_SMA_Handsoldering,2,SS54,
DNP1,0805,1,0,
"H2, H3, H4, H5, H6_2, H6, H7_2, H7, H8_4, H8_3, H8_2, H8, H9_2, H9",MountingHole_4.3mm_M4,14,MountingHole,
"IC1, IC2, IC3, IC4, IC5, IC6, IC7, IC8",ACS711ELCTR25ABT,8,ACS713ELCTR-30A-T,
"J1_2, J11, J12",AMASS_XT60IPW-M_1x03_P7.20mm_Horizontal,3,Conn_01x02_Pin,
J1,CONN_SD-43045-005_04_MOL,1,BlueRobotics Depth Sensor,
"J10_2, J11_2, J12_2, J13, J14_2, J15_3, J9",Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical,7,430450228,
J10,CONN_SD-43045-005_02_MOL,1,Kill Switch,
J11_3,CONN_SD-43045-005_04_MOL,1,StarOddi CTD Comms,
J12_3,CONN_SD-43045-005_02_MOL,1,LED1,
J13_3,CONN_SD-43045-005_02_MOL,1,LED2,
"J13_2, J2_2",AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,2,Conn_01x02_Pin,
J14_3,PinHeader_1x03_P2.54mm_Vertical,1,Leak Sensor,
"J14, J15_2, J98, J99",PinHeader_1x08_P2.54mm_Vertical,4,Conn_01x08,
J15,CONN_SD-43045-005_04_MOL,1,Extra I2C #3,
J16_2,CONN_SD-43045-005_04_MOL,1,Extra I2C #6,
"J16, J21, J22_2",AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,3,Conn_01x02_Pin,
J17,CONN_SD-43045-005_04_MOL,1,Extra I2C #5,
J18_2,CONN_SD-43045-005_04_MOL,1,Extra I2C #4,
J18,"PhoenixContact_MCV_1,5_4-G-3.81_1x04_P3.81mm_Vertical",1,Conn_01x04_Socket,
J19,PinHeader_1x10_P2.54mm_Vertical,1,GND Line,
J2,SULLINS_SBH11-PBPC-D05-ST-BK,1,Interconnect,
J20,PinHeader_1x10_P2.54mm_Vertical,1,3.3V Line,
J21_2,PinHeader_1x10_P2.54mm_Vertical,1,5V Line,
J22,CONN_SD-43045-005_06_MOL,1,Extra SPI #1,
J23,CONN_SD-43045-005_06_MOL,1,Extra SPI #2,
J24,CONN_SD-43045-005_06_MOL,1,Extra SPI #3,
J25,CONN_SD-43045-005_04_MOL,1,Secondary UART,
J3_2,AMASS_XT60PW-F_1x02_P7.20mm_Horizontal,1,External Battery,
J3,SULLINS_SBH11-PBPC-D05-ST-BK,1,SBH11-PBPC-D05-ST-BK,
"J4_2, J5, J6_2, J7",PHOENIX_1098169,4,1098169,
"J4, J6",PinHeader_1x24_P2.54mm_Vertical,2,Conn_01x24,
J5_2,AMASS_XT30PW-F_1x02_P2.50mm_Horizontal,1,External I2C,
J7_2,CONN_SD-43045-005_04_MOL,1,Extra I2C #1,
J8_2,Molex_Micro-Fit_3.0_43045-0212_2x01_P3.00mm_Vertical,1,0430450212,
J8,CONN_SD-43045-005_04_MOL,1,Extra I2C #2,
J9_2,CONN_SD-43045-005_02_MOL,1,Lumen PWM,
"Q7_3, Q7_2, Q7",TO-252-2_L6.5-W6.1-P4.58-LS10.0-TL,3,L78M05ABDT-TR,C58069
"R1_2, R10, R11, R2_2, R27, R3, R32, R34, R36, R4, R41, R5, R6, R7_2, R8_2",0805,15,10k,
"R1, R2, R29, R30, R37, R38, R39, R5_2, R6_2, R7, R8",0805,11,0R,
R28,0805,1,20k,
R3_2,2506_8x_Resistor_Array,1,2.2k Array,
"R31, R33, R35",0805,3,47k,
R4_2,2506_8x_Resistor_Array,1,3.3k Array,
"U1, U16, U2",MSOP-8_3x3mm_P0.65mm,3,MCP9808_MSOP,
"U15_2, U15, U3",SOT-223-3_TabPin2,3,AMS1117-3.3,
U17,"Allegro_MicroSystems,_LLC-CB-5-PFF-0-0-MFG",1,ACS758LCB-100U-PFF-T,
U18,TO-263-2,1,SRT60L100DC-R,
U4,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U6,Teensy41,1,Teensy4.1,
