Designator,Mid X,Mid Y,Rotation,Layer
C1_2,288.5,-127.9625,90.0,top
C1,128.14,-14.845,0.0,top
C12_2,287.0,-116.0,180.0,top
C12,153.927808,-80.149248,270.0,top
C13_2,157.609579,-89.356787,270.0,top
C13,288.0,-111.9625,90.0,top
C14_2,159.70019,-89.240642,270.0,top
C14,284.5,-111.9625,90.0,top
C15_2,147.71901,-80.206444,270.0,top
C15,295.5,-120.5,0.0,top
C16,121.777672,-122.716673,180.0,top
C17,126.894819,-123.252768,270.0,top
C18,124.862107,-123.236636,270.0,top
C19,151.946597,-80.072457,270.0,top
C2_2,285.5,-128.0,90.0,top
C2,128.14,-12.345,0.0,top
C20,149.903952,-80.118531,270.0,top
C3,132.64,-14.845,180.0,top
C4,132.64,-12.345,180.0,top
C5,138.59,-3.345,90.0,top
C6,142.59,-3.345,90.0,top
CB1,114.3025,-31.345,180.0,top
CB2,129.3775,-31.345,180.0,top
CB3,146.3775,-31.345,180.0,top
CB4,193.3025,-31.345,180.0,top
CB5,161.34,-31.345,180.0,top
CB6,178.3025,-31.345,180.0,top
CB7,210.3025,-31.345,180.0,top
CB8,225.3025,-30.845,180.0,top
CF1,118.6275,-38.095,0.0,top
CF10,133.6275,-35.595,0.0,top
CF11,150.5525,-35.595,0.0,top
CF12,165.6275,-35.595,0.0,top
CF13,182.6275,-35.595,0.0,top
CF14,197.6275,-35.595,0.0,top
CF15,214.6275,-35.595,0.0,top
CF16,229.6275,-35.595,0.0,top
CF2,133.6275,-38.095,0.0,top
CF3,150.5525,-37.845,0.0,top
CF4,165.6275,-38.095,0.0,top
CF5,182.665,-37.8825,0.0,top
CF6,197.665,-37.8825,0.0,top
CF7,214.665,-37.8825,0.0,top
CF8,229.665,-37.8825,0.0,top
CF9,118.6275,-35.595,0.0,top
D15,144.853465,-71.962437,180.0,top
D16,145.056555,-76.089548,180.0,top
DNP1,150.21,3.5675,270.0,top
IC1,111.59,-36.345,270.0,top
IC2,126.59,-36.345,270.0,top
IC3,143.59,-36.345,270.0,top
IC4,158.59,-36.345,270.0,top
IC5,175.59,-36.345,270.0,top
IC6,190.59,-36.345,270.0,top
IC7,207.59,-36.345,270.0,top
IC8,222.59,-36.345,270.0,top
J1_2,115.34,4.83,0.0,top
J1,238.5,-146.283002,180.0,top
J10_2,175.84,-16.645,0.0,top
J10,230.1604,-129.403,180.0,top
J11_3,225.5,-146.283002,180.0,top
J11_2,185.84,-16.645,0.0,top
J11,130.777672,-74.903666,180.0,bottom
J12_3,220.6604,-129.343001,180.0,top
J12_2,195.84,-16.645,0.0,top
J12,130.777672,-85.903666,180.0,bottom
J13_3,211.160402,-129.343001,180.0,top
J13_2,114.277672,-74.553666,180.0,top
J13,205.84,-16.645,0.0,top
J14_3,216.5,-146.900001,0.0,top
J14_2,215.78,-16.645002,0.0,top
J14,149.869966,-119.200295,0.0,top
J15_3,225.84,-16.644996,0.0,top
J15_2,137.169966,-119.200295,0.0,top
J15,275.343,-111.5,270.0,top
J16_2,275.343,-78.5,270.0,top
J16,113.777672,-87.403666,180.0,top
J17,275.343,-89.5,270.0,top
J18_2,275.343,-100.499999,270.0,top
J18,147.795172,-89.578666,0.0,top
J19,297.5,-85.65,0.0,top
J2_2,131.09,6.63,0.0,top
J2,217.58,-112.23,0.0,top
J20,293.5,-85.61,0.0,top
J21_2,289.5,-85.69,0.0,top
J21,100.327835,-110.713352,90.0,top
J22_2,100.256109,-93.85919,90.0,top
J22,255.0,-146.343001,180.0,top
J23,254.999999,-129.321501,180.0,top
J24,254.9996,-111.761502,180.0,top
J25,238.16,-111.843001,180.0,top
J3_2,291.9,-146.175,180.0,top
J3,189.09,6.635,180.0,top
J4_2,119.84,-50.095,0.0,top
J4,232.65,-97.879405,90.0,top
J5_2,274.5,-145.825,180.0,top
J5,151.84,-50.095,0.0,top
J6_2,183.84,-50.095,0.0,top
J6,232.69,-75.379405,90.0,top
J7_2,275.343,-133.5,270.0,top
J7,215.84,-50.095,0.0,top
J8_2,155.84,-16.645,0.0,top
J8,275.343,-122.5,270.0,top
J9_2,239.660402,-129.403,180.0,top
J9,165.84,-16.645,0.0,top
J98,159.44,-2.795,270.0,top
J99,159.44,9.905,270.0,top
Q7_3,155.247739,-74.228917,0.0,top
Q7_2,295.5,-127.5,270.0,top
Q7,128.864892,-5.077855,0.0,top
R1_2,153.59,-8.845,90.0,top
R1,288.5,-105.5,0.0,top
R10,267.0,-89.5,0.0,top
R11,267.0,-92.5,0.0,top
R2_2,288.5,-102.5,0.0,top
R2,159.71,3.655,90.0,top
R27,128.843803,-123.257874,270.0,top
R28,130.825965,-123.246014,90.0,top
R29,110.368631,-114.990324,0.0,top
R3_2,168.09,3.655,180.0,top
R3,284.5,-103.5,90.0,top
R30,110.383231,-113.048546,0.0,top
R31,144.869966,-110.470295,270.0,top
R32,147.078114,-110.523058,270.0,top
R33,146.743362,-114.527353,270.0,top
R34,144.757336,-114.490231,90.0,top
R35,144.76638,-118.610124,90.0,top
R36,146.74595,-118.610124,270.0,top
R37,110.42427,-110.976876,0.0,top
R38,140.866442,-127.666798,0.0,top
R39,140.842182,-125.706294,0.0,top
R4_2,163.59,3.655,180.0,top
R4,285.5,-133.0,90.0,top
R41,110.42427,-108.92443,0.0,top
